id;injection;sale;cancel;cash;pret;balance;a_verser;status;name
1;23279;10320;68465;63001;48839;26431;65050;ACTIVE;orange
2;6955;48592;21067;5627;3565;48755;89768;ACTIVE;circuit Licensed
3;39818;5933;81667;7588;41413;85507;94843;ACTIVE;Chips b Berkshire
4;44806;54540;27771;45977;65363;23018;86116;ACTIVE;Practical
5;53549;24723;47567;30698;67285;9601;11279;ACTIVE;alarm Cheese d'Azur
6;16821;60884;83982;44940;47098;74424;48494;INACTIVE;parsing
7;24462;80078;82269;46256;96183;20871;80794;INACTIVE;RAM Berkshire
8;90753;66642;75275;58122;6149;81902;85954;INACTIVE;Manager CSS Card
9;46933;83121;89269;2716;75168;66587;91799;INACTIVE;fresh-thinking
10;27005;30725;23423;98577;85540;24966;13302;ACTIVE;parsing connect
