id;name;image;type;section
1;Steel;Consultant;GASEUSE;PISCINE
2;support navigate;Chilean reboot b;AUTRE;BAR
3;withdrawal THX b;Metal;AUTRE;BAR
4;Franche-Comté throughput Sommerard;intermediate initiative Generic;ALCOLISEE;RESTAURANT
5;Ball Small;Computer CFP orange;ALCOLISEE;BAR
6;mobile Poitou-Charentes auxiliary;COM a Awesome;GASEUSE;BAR
7;withdrawal invoice;Bike Shoes d'Argenteuil;ALCOLISEE;BAR
8;pixel methodical quantifying;rich de c;AUTRE;HOTEL
9;Computer Alsace mobile;AGP lavender;AUTRE;PISCINE
10;grey solution;Franche-Comté Ergonomic Ergonomic;ALCOLISEE;HOTEL
